vcov,tau,se_classical,se_robust,omega,t_classical,t_robust,r2_d,r2_y,reference_tau,reference_se_robust,reference_omega
classical,0.5903439628468778,0.10069168854819854,0.10069168854819854,1.0,5.862886712484668,5.862886712484668,0.07740888829130221,2.1094733573367996e-5,0.5903439628468778,0.10069168854819853,1.0
HC0,0.5903439628468778,0.10069168854819854,0.09965220279209676,0.9896765485703002,5.862886712484668,5.924043285611114,0.07740888829130221,2.1094733573367996e-5,0.5903439628468778,0.09965220279209672,0.9896765485703
HC1,0.5903439628468778,0.10069168854819854,0.10179550611752107,1.010962350371095,5.862886712484668,5.799312615680072,0.07740888829130221,2.1094733573367996e-5,0.5903439628468778,0.10179550611752103,1.0109623503710947
CR0,0.5903439628468778,0.10069168854819854,0.1820130328753637,1.8076271785653757,5.862886712484668,3.24341588907606,0.07740888829130221,2.1094733573367996e-5,0.5903439628468778,0.1820130328753636,1.8076271785653752
CR1,0.5903439628468778,0.10069168854819854,0.19338435100841225,1.9205592218849732,5.862886712484668,3.0526976964190746,0.07740888829130221,2.1094733573367996e-5,0.5903439628468778,0.19338435100841217,1.9205592218849725
